type;ident;lat;long;y_proj;x_proj;new_seg;display;color;altitude;depth;temp;time;model;filename;ltime
TRACK;1.1.1-1; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
TRACK;1.1.1-1;-16.39105913;-71.52870505;8186124.36;229908.1381;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-1;-16.39111194;-71.5286708;8186118.559;229911.8715;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-1;-16.39108462;-71.52840592;8186121.936;229940.1408;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-1;-16.39106808;-71.52814913;8186124.109;229967.561;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-1;-16.3910174;-71.52796255;8186129.969;229987.4311;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-1;-16.39060189;-71.52824899;8186175.588;229956.2458;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-1;-16.39087216;-71.52852308;8186145.301;229927.3267;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-2; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
TRACK;1.1.1-2;-16.39074651;-71.52789206;8186160.053;229994.5902;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-2;-16.39071414;-71.52782256;8186163.729;230001.9737;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-2;-16.3906619;-71.52763743;8186169.758;230021.6862;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-2;-16.39057609;-71.52751025;8186179.428;230035.1597;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-2;-16.39035513;-71.52719605;8186204.308;230068.4328;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-2;-16.39021109;-71.52687238;8186220.686;230102.8249;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-2;-16.39006087;-71.52655829;8186237.735;230136.1842;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-2;-16.38996888;-71.52660747;8186247.853;230130.8019;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-2;-16.3901635;-71.52691984;8186225.892;230097.6868;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-2;-16.3901875;-71.52697632;8186223.159;230091.6842;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-2;-16.39013934;-71.52703565;8186228.412;230085.2775;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-2;-16.39010133;-71.52696406;8186232.715;230092.876;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-2;-16.39013258;-71.52693913;8186229.289;230095.583;False; ; ;0; ; ; ; ; ; 
