"Name","Description","VIVIENDA_VANCAN_2016","LONGITUDE","LATITUDE","geometry"
"1.1.100-1","",1,"-71.5210120878346","-16.3485056628748",c(-71.5210120878346, -16.3485056628748)
"1.1.100-10","",0.4,"-71.5206062179369","-16.3475629920582",c(-71.5206062179369, -16.3475629920582)
"1.1.100-11","",1,"-71.5208243940528","-16.3471228067978",c(-71.5208243940528, -16.3471228067978)
"1.1.100-12","",0.75,"-71.5207744090455","-16.3466623255631",c(-71.5207744090455, -16.3466623255631)
"1.1.100-13","",0.5,"-71.5207267467652","-16.346215684274",c(-71.5207267467652, -16.346215684274)
"1.1.100-14","",1,"-71.5206839466616","-16.3457619486151",c(-71.5206839466616, -16.3457619486151)
"1.1.100-15","",0,"-71.5205369328052","-16.3453181069993",c(-71.5205369328052, -16.3453181069993)
"1.1.100-16","",1,"-71.5200227539515","-16.3449235587602",c(-71.5200227539515, -16.3449235587602)
"1.1.100-18","",1,"-71.5200667438391","-16.3444586911314",c(-71.5200667438391, -16.3444586911314)
"1.1.100-19","",1,"-71.5204137541066","-16.3439664084647",c(-71.5204137541066, -16.3439664084647)
"1.1.100-2","",0,"-71.5201135276329","-16.3486790871466",c(-71.5201135276329, -16.3486790871466)
"1.1.100-3","",0,"-71.5191568978076","-16.3488690277739",c(-71.5191568978076, -16.3488690277739)
"1.1.100-5","",0,"-71.5183206336318","-16.3484187468892",c(-71.5183206336318, -16.3484187468892)
"1.1.100-6","",1,"-71.5189349055105","-16.3475944217341",c(-71.5189349055105, -16.3475944217341)
"1.1.100-7","",1,"-71.5189644196174","-16.3479915426487",c(-71.5189644196174, -16.3479915426487)
"1.1.100-8","",0,"-71.5190571206054","-16.3484277496598",c(-71.5190571206054, -16.3484277496598)
"1.1.100-9","",0.5,"-71.5204468098674","-16.348154047104",c(-71.5204468098674, -16.348154047104)
"1.1.102-4","",1,"-71.5223078710625","-16.3426861504125",c(-71.5223078710625, -16.3426861504125)
"1.1.13-1","",0.7692,"-71.5261896487617","-16.3772245035283",c(-71.5261896487617, -16.3772245035283)
"1.1.13-2","",0.5714,"-71.5260610941979","-16.3778821254973",c(-71.5260610941979, -16.3778821254973)
"1.1.13-3","",0.8571,"-71.5258526593616","-16.377379151172",c(-71.5258526593616, -16.377379151172)
"1.1.13-4","",0.8889,"-71.5255868456165","-16.3775571341078",c(-71.5255868456165, -16.3775571341078)
"1.1.13-5","",0.6364,"-71.5253746291049","-16.377913863439",c(-71.5253746291049, -16.377913863439)
"1.1.13-6","",0.6364,"-71.5247743663489","-16.3769936492827",c(-71.5247743663489, -16.3769936492827)
"1.1.13-8","",0.625,"-71.5252852144416","-16.3765748684749",c(-71.5252852144416, -16.3765748684749)
"1.1.13-9","",0.625,"-71.5245299604775","-16.3763265328183",c(-71.5245299604775, -16.3763265328183)
"1.1.14-1","",0.9231,"-71.5259652051175","-16.3797725576033",c(-71.5259652051175, -16.3797725576033)
"1.1.14-10","",0.5714,"-71.5242656944622","-16.3776189785766",c(-71.5242656944622, -16.3776189785766)
"1.1.14-11","",0.7857,"-71.5239474294515","-16.3778059785608",c(-71.5239474294515, -16.3778059785608)
