IDCCPP_17,new_name
0401170001,SACHACA
0401170008,TIOCHICO
0401120001,PAUCARPATA
0401040003,ALTOCURAL
0401040005,MORRONEGRO
0401040006,SOLNACIENTE
0401040007,CERROCOLORADOCANTARILLAS
0401040002,CONONORTE
0401040001,LALIBERTAD
0401040009,LOSCANTEROS
0401130009,CONTICANCHA
0401130010,CARCATANI
0401130006,MUTO
0401130008,CHILUYO
0401130003,TUCTUMPAYA
0401130004,CANISPAYA
0401130002,SENEGUILLA
0401130007,HUICCHUNA
0401130012,LATRAMPA
0401130014,SOLABAYA
0401130005,PIACA
0401130001,POCSI
0401150011,BUENAVISTA
0401150002,QUEBRADAHONDA
0401150007,SANISIDROLABRADOR
0401150004,FERNANDOBELAUNDETERRY
0401150001,QUEQUEÑA
0401150013,CAMBRACA
0401270008,SANTACECILIA-AMPLIACIONANEXOELCERRO
0401270010,SOGAY
0401270011,SANANTONIO
0401270035,NUEVAESPINAL
0401270005,CHAVARRIA
0401270009,QUICHINIHUAYA
0401270006,LABANDA
0401270021,MEDALLAMILAGROSA
0401270018,ESPINAL
0401270037,VILLAELSOL
0401270001,YARABAMBA
0401270038,CHISNINO
0401260001,YANAHUARA
0401010001,AREQUIPA
0401220007,SANTAMARTHATRADICIONAL
0401220003,ELPASTO
0401220005,LASPEYAS
0401220017,GRANJEROSSANTAMARTHA
0401220026,LACUCHILLA
0401220029,PUEBLOVIEJOLACALLE
0401220027,CERRITOSANJUAN
0401220031,TAHUANTINSUYO
0401220001,SOCABAYA
0401220016,NUEVAFESIA-GRANJEROSLARINCONADA
0401110001,MOLLEBAYA
0401110003,ELHORNO
0401110004,AMPLIACIONSANTAANA
0401110006,LUNA
0401110007,GIRIGUAYA
0401110010,SEÑORDELOSMILAGROS
0401110012,ELMIRADORDEMOLLEBAYA
0401110014,PAMPABAJERASANTAANA
0401110015,ELAUXILIO
0401110011,SANISIDRO_VIRGENDECHAPI_MACHAHUAYA
0401240018,NUEVALETICIA(ASENTAMIENTOHUMANO)
0401240035,VIRGENDELROSARIO_ESTACIONDEUCHUMAYO
0401240048,LASLOMASDEUCHUMAYO
0401240045,AIGA
0401240046,PAMPALAESTRELA
0401240015,MOLLEBAYACHICO
0401240016,MOLLEBAYAGRANDE
0401240014,TAMBILLO
0401240008,SOCOSANI
0401240006,QUISHUARANI
0401240003,IRRIGACIONPARAISO
0401240007,HUASAMAYO
0401240009,LARINCONADA
0401240038,PAMPABLANCA
0401240039,LABUTRON
0401240040,SAUCILLO
0401240041,CHILPINA
0401240031,LATERAL4ELCURAL
0401240030,LATERAL5ELCURAL
0401240042,LANUEVAMOLINA
0401240043,AMPACA
0401240001,UCHUMAYO
0401240025,CERROVERDE
0401240024,CONGATA
0401240005,AÑASHUAICO
0401240011,HUACO
0401240013,CASABLANCA
0401240020,ELFILTRO
0401240027,LATERAL7ELCURAL
0401240029,LATERAL6ELCURAL
0401240012,HUAYCO(PUEBLOTRADICIONALELHUAYCO)
0401240019,SANTATERESA
0401240023,TINAJONES
0401030008,CHARCANIGRANDE
0401030009,MAMAEUGENIA
0401030001,CAYMA
0401030007,CHARCANICHICO
0401030004,CHAMPICHICO
0401030005,TOCRAL
0401090001,MARIANOMELGAR
0401290001,CIUDADSATELITE
0401280001,YURA
0401280002,CONONORTE
0401280073,CIUDADDEDIOS
0401280072,REALPROGRESO
0401280020,PAMPADEARRIEROS
0401280021,OJULE
0401280024,CHILCANE
0401280025,QUISCOSMORROVERDE
0401280028,MATAGRAYO
0401280030,YURAVIEJO
0401280031,CINCHA
0401280032,GRAMADAL
0401280064,MINAS
0401280065,LACOLORADA
0401280066,LIQUIRCA
0401280067,MAUCALLACTA
0401280069,JULLALLE
0401280003,ESQUERA
0401280004,PALCA
0401280022,PUNTILLO
0401280006,PUCARA
0401280010,CHILA
0401280013,TAMBOCAÑAHUAS
0401280040,PAMPACAÑAHUAS
0401280053,PALCANI
0401280054,SANTUAYLLA
0401280057,CANCHAMOCO
0401280059,CAPOHUASI
0401280061,PAMPACORRALONES
0401280062,ICHUCOLLO
0401280008,CULLPA
0401280009,SUMBAY
0401280011,CHASQUIPAMPA
0401280015,CALCALLANE
0401280016,LACALERA
0401280017,PATILLANI
0401280019,UMALAZO
0401280038,PURUÑA
0401280039,VILCANI
0401280044,JAYUPATA
0401280045,ESTANCIA21
0401280046,HUAYARANI
0401280048,ALTOSUMBAY
0401280051,ERHUAHUIÑAYOC
0401280060,KENCO
0401280070,TAYA
0401280029,UYUPAMPA
0401280036,CUICO
0401280043,LAESTACION
0401160005,YUMINACHICO
0401160006,ELPASTOLOSPINTO
0401160007,ELCORRALON
0401160009,CALLAPAROSELL(ROSELL)
0401160019,APPIPA
0401160001,SABANDIA
0401160004,YUMINA
0401100001,MIRAFLORES
0401020001,SELVAALEGRE
0401230011,CHUSICANI
0401230018,ELMOLINO
0401230020,LATERAL2ELCURAL
0401230022,PAMPASNUEVAS
0401230019,LATERAL1ELCURAL
0401230006,SANJOSE(PERALES)
0401230003,PAMPASNUEVAS-MICAELABASTIDAS
0401230001,TIABAYA
0401070001,JACOBOHUNTER
0401060001,CHIGUATA
0401060026,ESPIRITUSANTO
0401060008,MIRAFLORES
0401060009,CARICARI
0401060010,ARENALES
0401060011,CACHAMARCA
0401060012,COLLAMARCA
0401060013,CONTUNE
0401060015,CAMATA
0401060016,CANGALLO
0401060017,AGUASALADA
0401060019,LACALERA
0401060033,VALLEVERDE
0401060034,QUEBRADAZORRERA
0401060035,CARICARICARCATOYO
0401060036,CARICARILAPAMPA
0401060021,BEDOYA
0401060022,TILUMPAYA
0401060027,RINCONADA
0401060028,SANTAMARIA
0401060029,QUILLOCOMAGRANDE
0401060030,PITIS
0401060031,CACAYACO
0401060032,QUILLOCONACHICO
0401060038,ELMIRADOR
0401060039,PAMPALINARES
0401060040,IRRIGACIONELMISTI
0401050007,BUENAVISTA
0401050008,CACAPATA
0401050010,MOSOPUQUIO
0401050011,MOROCANCHA
0401050009,YANAYACO
0401050014,CHUJAL
0401050001,CHARACATO
0401110008,PAMPADELPAJONAL-ALCOSA
0401230023,CACHARPARI
0401070002,LARINCONADA
0401270036,CUESTADEHORNILLO
0401280034,AGUASALADA
0401280014,PATAHUASI
0401220032,SANAGUSTIN
0401110016,VILLARESERVISTAMAYTACAPAC
0401220034,MIRADOR
0401060046,VALLEENCANTADO
0401060041,LOMASDECHIGUATA
0401060042,LOSJARDINESDECHIGUATA
0401060043,LAPLANICIEDESANANTONIO
0401060044,LASTORRES
0401060045,VILLADELCARMEN
0401220021,HUASACACHE
0401220010,HORACIOZEBALLOSGAMEZ
0401270003,POSTRERIO
0401170006,TIOGRANDE
0401230021,LATERAL3ELCURAL
0401240044,IMPERIO
0401240002,PALCA
0401240037,CANAHURILLA
0401240021,CANAURA
0401240028,LATERAL8ELCURAL
0401270002,ELLAVADERO
0401050002,QUISCO
0401060018,SANBERNARDODECHIHUATA(CHIHUATA)
0401280050,CHILLIHUA
0401280071,VACAS
0401160017,HUANCAYAPO
