IDCCPP_17,new_name
1601130002,RUMOCOCHA
1601130022,PEÑANEGRA
1601130004,PUERTOALMENDRAS
1601130070,UNIONPROGRESO
1601130005,NINARUMI
1601130024,VARILLAL
1601130007,SANMARTIN
1601130027,NUEVAESPERANZA
1601130006,LLANCHAMA
1601130025,MORALILLO
1601130063,BUENAESPERANZA
1601130064,SANTABARBARA
1601130065,SANCARLOS
1601130028,ELDORADO
1601130034,NUEVOMILAGRO
1601130036,VILLAELBUENPASTOR
1601130026,SANJOSE
1601130066,SOLEDAD
1601130012,3DEOCTUBRE
1601130013,BELENDEJUDA
1601130067,ANGUILLA
1601130009,YUTO
1601130011,15DEABRIL
1601130008,MISHANA
1601130010,PORVENIR
1601130031,13DEFEBRERO
1601130020,5DEJUNIO
1601130032,PAUJILIZONA
1601130030,PAUJILIIZONA
1601130029,24DEJUNIO
1601130023,SANANTONIO
1601130014,SANPEDRO
1601130021,PALOSECO
1601130035,PARAISO
1601130041,SANTAMARTHA
1601130042,NUEVASANTAELOYSA
1601130033,NUEVOHORIZONTE
1601130039,EXPETROLEROSIIZONA
1601130037,EXPETROLEROIZONA
1601130040,SANPEDROPINTUYACU
1601130045,SANLUCAS
1601130043,UNION
1601130044,10DEOCTUBREIZONA
1601130048,VARADERODEOMAGUAS
1601130056,CAHUIDE
1601130051,NUEVOPROGRESO
1601130046,ELTRIUNFO
1601130055,12DEABRIL
1601130047,NUEVAVIDA
1601130049,HABANA
1601130054,NUEVOMIRAFLORES
1601130052,NUEVOSANMARTIN
1601130057,12DEOCTUBRE
1601130058,MELITONCARBAJAL
1601130059,LUZDEORIENTE
1601130060,28DEENERO
1601130061,NUEVAVILLABELEN
1601130001,SANJUAN
1601130003,SANTACLARA
1601130015,SANTOTOMAS
1601130018,ZUNGAROCOCHA
1601130072,YARANA
1601130074,ANGELCARDENAS
1601130077,CREACION2000
1601130078,NUEVOTRIUNFO
1601130079,HUAMBE
1601130080,CIUDADSALTELITE
1601130081,AGUABLANCA
1601130082,10DEOCTUBREIIZONA
1601130083,LOSCEDROS
1601130084,HUASCAR
1601130086,NUEVOSANJUAN
1601130088,SANTACATALINA
1601130089,23DEFEBRERO
1601130090,SANMARTINIIZONA
1601130092,SANMARTIN
1601130095,LAPAZ
1601130097,SHUSHUNA
1601130017,QUISTOCOCHA
1601130069,LOSDELFINES
1601130093,CALIPSO
1601010001,IQUITOS
1601010002,MANACAMIRI
1601010003,FRAYMARTIN
1601010004,SANTARITA
1601010005,SANJOSEDELUPUNA
1601010006,TRESUNIDOS
1601010007,SANPABLODECUYANA
1601010008,HUATURI
1601010009,LOBOYACU
1601010010,SANPEDRO
1601010011,TARAPOTO
1601010012,LIBERTAD
1601010013,AYACUCHO
1601010014,YARINA
1601010015,LAGUNAS
1601010017,MARAVILLA
1601010018,SHIRIARA
1601010019,8DEOCTUBRE
1601080010,SARGENTOLORES
1601080012,SANLUISDEVISTAALEGRE
1601080014,UNIONFAMILIAR
1601080015,ALMIRANTEMIGUELGRAU
1601080023,SANJUANDEPOLIS
1601080030,NUEVOPARAISO
1601080008,PUNTOALEGRE
1601080005,MAYNAS
1601080006,ALMIRANTEGUISE
1601080007,AGRARIODESHIMBILLO
1601080003,NUEVAYORK
1601080049,MOMONCILLO
1601080048,SANTAROSA
1601080041,PUERTOGENGEN
1601080050,PORVENIR
1601080039,CENTROFUERTE
1601080033,ROCAFUERTE
1601080027,HIPOLITOUNANUE
1601080004,ALFONSOUGARTE
1601080009,ALFONSOUGARTEIZONA
1601080011,PUERTOALICIA
1601080016,SANTOTOMASDECAPIRONAL
1601080013,SANJUANDESINCHICUY
1601080025,SANTACLARATERCERAZONA
1601080019,NUEVOPERU
1601080022,SOLNACIENTE
1601080021,SANTAMARIADEOJEAL
1601080028,SANTACLARAIZONA
1601080031,FLORIDA
1601080026,SANTACLARASEGUNDAZONA
1601080060,SANANTONIO
1601080035,INDELSA
1601080036,ASTORIA
1601080032,COSTANERA
1601080029,CENTROARENAL
1601080055,SANTOTOMAS
1601080054,LUPUNILLO
1601080034,PICUROYACU
1601080046,SANTACLOTILDE
1601080038,ELMILAGRO
1601080037,INDEPENDENCIA
1601080044,SANFERNANDO
1601080053,SANANDRES
1601080052,NUEVAPRIMAVERA
1601080047,PROGRESOIIZONA
1601080051,FRAYMARTIN
1601080024,8DESETIEMBRE
1601080043,NUEVOSANANTONIO
1601080040,FLORDEAGOSTO
1601080017,TIERRAHERMOSA
1601080001,PUNCHANA
1601120001,BELEN
1601120002,SANTAZULEMA
1601120004,NUEVAAMAZONIA
1601120007,SANTAMARTHA
1601120008,CAROCOCHA
1601120014,SANPEDRODEHUASHALADO
1601120072,SANTACRUZ
1601120005,CABOPANTOJA
1601120013,SANJUANDEHUASHALADO
1601120061,YANAYACUDEBOMBONAJE
1601120010,JUANVELASCOALVARADO
1601120015,SANTAROSADELAMAZONAS
1601120062,GENERALMERINO
1601120063,NUEVOHUMARAL
1601120009,SANJUANDEPADRECOCHA
1601120011,ISLAIQUITOS
1601120012,PADREISLAIZONA
1601120016,DOSDEMAYO
1601120017,PROGRESO
1601120021,RAFAELBELAUNDE
1601120066,GABRIELANUÑEZ
1601120071,NUEVOJERUSALEN
1601120019,BUENOSAIRES
1601120022,CENTROUNIONLUPUNA
1601120023,LUPUNAIIZONA
1601120024,LUPUNAIZONA
1601120035,SANANTONIODEGALLITO(SANANTONIO)
1601120069,11DENOVIEMBRE
1601120027,CAÑAVERAL
1601120034,SANMIGUEL
1601120064,CANTAGALLO
1601120081,NUEVOBELEN
1601120026,MOHENACAÑO
1601120029,NUEVOSANJOSE
1601120030,SANJOSE
1601120031,SANFRANCISCO
1601120032,SANANDRES
1601120033,NUEVOCAMPEON
1601120046,8DEDICIEMBRE
1601120073,USHPACAÑO
1601120043,SANPABLODELUPUNILLO
1601120044,CENTROMAZANAIIZONA
1601120045,CENTROMAZANAIZONA
1601120047,PUERTOALEGRIAIIZONA
1601120048,PUERTOALEGRIAIZONA
1601120057,MAZANILLO
1601120065,SANTAROSADEMUYUY
1601120068,YARINACOCHA
1601120079,SEÑORDELOSMILAGROS
1601120049,SANJUANDEMUNICH
1601120050,28DEJULIO
1601120056,LIMON
1601120058,PEÑABLANCA
1601120067,DOSDEMAYO
1601120076,5DEDICIEMBRE
1601080045,PROGRESOIZONA
1601080002,PADRECOCHA
1601080061,DIECIOCHODEENERO
1601130098,VILLACRUZ
1601130101,31DEAGOSTO
1601130099,SANCIRILO
1601130100,GEDEONES
1601080062,NUEVAVIDA
1601120077,AUGUSTOFREYREGARCIA
1601120003,SANTAMARIADEFATIMA
1601120070,SEÑORDELOSMILAGROS
1601120052,CABOLOPEZ
