IDCCPP_17,new_name
0701040001,LAPERLA
0701010001,CALLAO
0701060001,VENTANILLA
0701020001,BELLAVISTA
0701070001,MIPERU
0701050001,LAPUNTA
0701030001,CARMENDELALEGUAREYNOSO
1501320001,SANJUANDELURIGANCHO
1501010001,LIMA
1501020001,ANCON
1501030001,VITARTE
1501040001,BARRANCO
1501050001,BREÑA
1501060033,OLFA
1501060006,CHOCASALTO
1501060005,BUENAVISTA
1501060034,RIOSECO
1501060008,CHOCASBAJO
1501060022,CERROCAÑON
1501060014,CUCHICORRAL
1501060070,"NARANJITO"
1501060010,CABALLERO
1501060045,SANJOSE
1501060035,PARAISO
1501060064,SANTAMARGARITA-MOLINOS
1501060012,FRAYMARTIN
1501060001,CARABAYLLO
1501060038,CERROPUQUIO
1501060039,LACAMPANA
1501060056,SANTAELENA
1501060055,CARMELITO
1501060057,DONLUIS
1501060013,SANTAROSADEPUQUIO
1501060087,SANFRANCISCO
1501060088,HUATOCAY
1501060089,ELPARAISO
1501060091,PIRAMIDE
1501060092,REMANZO
1501060011,HUARANGAL
1501060009,CASINELLI
1501070001,CHACLACAYO
1501080001,CHORRILLOS
1501090008,SANTAROSADECHONTAY(CHONTAY)
1501090005,SANVICENTE
1501090004,SANISIDRO
1501090003,PICHICATO
1501090002,LINDERO
1501090006,PIEDRALIZA
1501090007,SANFRANCISCO
1501090001,CIENEGUILLA
1501100001,LALIBERTAD
1501110001,ELAGUSTINO
1501120001,INDEPENDENCIA
1501130001,JESUSMARIA
1501140001,LAMOLINA
1501150001,LAVICTORIA
1501160001,LINCE
1501170001,LASPALMERAS
1501180001,CHOSICA
1501190001,LURIN
1501190003,RINCONADADELPURUHUAY
1501190010,BUENAVISTAALTA
1501200001,MAGDALENADELMAR
1501210001,PUEBLOLIBRE
1501220001,MIRAFLORES
1501230002,PUENTEMANCHAY
1501230005,MANCHAYALTOLOTEB
1501230007,MANCHAYBAJO
1501230004,PAMPAFLORES
1501230008,SANTAROSADEMALPASO
1501230009,CARDAL
1501230011,TOMINA
1501230010,JATOSISA
1501230014,LAVENTUROSA
1501230017,CLARALUISA
1501230001,PACHACAMAC
1501230016,ELMANZANO
1501240001,PUCUSANA
1501250001,PUENTEPIEDRA
1501260009,CERROBOTIJA
1501260001,PUNTAHERMOSA
1501270001,PUNTANEGRA
1501270002,CHANCHERIA
1501270003,LASMANDARINAS
1501280001,RIMAC
1501290022,SANTAMARIAI
1501290011,GRANJA44
1501290012,GRANJA47
1501290008,GRANJA07
1501290023,LASTORRESSANTAFE
1501290004,GRANJA4
1501290002,PLANTEL41
1501290006,GRANJA5
1501290001,SANBARTOLO
1501300001,SANFRANCISCODEBORJA
1501310001,SANISIDRO
1501330001,CIUDADDEDIOS
1501340001,SANLUIS
1501350001,BARRIOOBREROINDUSTRIAL
1501360001,SANMIGUEL
1501370001,SANTAANITA-LOSFICUS
1501380002,DONBRUNO
1501380001,SANTAMARIADELMAR
1501390001,SANTAROSA
1501400001,SANTIAGODESURCO
1501410001,SURQUILLO
1501420001,VILLAELSALVADOR
1501430001,VILLAMARIADELTRIUNFO
1501230018,COLLANAC
1501230021,PAMPALIMAY
1501240006,ÑAVES
1501290024,SANCIRILO
1501060037,ELROSARIO
1501060065,SIPANPERU
1501060086,LOSHUERTOSDERIOSECOIIETAPA
1501060090,LOMA
1501190012,LAQUERENCIA
1501260011,PAMPAMALANCHEAVICOLAPUMA
